soc,I_cmd,Imean,Ri,Rp,C,tau,ocv,Tb,Ta,rmse
20,10,10.01025,0.0024895482130815887,0.012745117316243863,2306.04179530261,29.39077321729338,3.129921,55.449999999999996,60.0,0.0006525999813699561
20,-20,-19.99508333333333,0.0022545042322904317,0.012906071576889418,2488.1034650878705,32.11164141113064,3.129921,55.95416666666667,60.0,0.0010494382663444786
20,15,16.008458333333333,0.0021814093070590137,0.02488406958793832,2585.1031265710294,64.32788609359042,3.129921,56.20000000000001,60.0,0.000913449835174474
20,-30,-29.999416666666665,0.002280455442189152,0.011123927252921093,2459.848108556418,27.36317141281714,3.129921,56.4,60.0,0.0015701349004025576
20,25,26.009125,0.002239765197791153,0.019584542824493945,2476.747845969492,48.50597425486265,3.129921,56.6,60.0,0.0012950305227579129
20,-40,-40.000166666666665,0.0023352985945891856,0.010872845765742064,2521.1506928711296,27.412082635781534,3.129921,56.6,60.0,0.0019205810783534398
20,30,30.014166666666664,0.002274070566676849,0.020198617668889345,2471.6505924874805,49.92392532873844,3.129921,56.70000000000001,59.975,0.0016232818476743516
20,-50,-49.98020833333334,0.0023358379425189135,0.00995985968687603,2495.6174582063168,24.85599971585312,3.129921,56.737500000000004,60.0,0.0024035355559903593
30,15,16.011041666666667,0.0025459929996226715,0.013659772929486141,2739.1786028328365,37.41655772800365,3.295764,56.9,60.0,0.0009759195950585437
30,-20,-19.995375,0.002128958971762214,0.010457600092695533,2723.5785011072867,28.48209478564312,3.295764,57.0,59.98333333333333,0.001094517601535566
30,25,24.02475,0.002251733441555066,0.014704274596922551,2742.1535492262688,40.32137877474884,3.295764,57.00833333333333,59.90833333333333,0.0011785250005274528
30,-30,-30.000625000000003,0.002141155392595979,0.009092555649559547,2643.139366147279,24.032891776235683,3.295764,57.18333333333334,59.99583333333334,0.0015499806500125105
30,30,30.011458333333337,0.002246830735482975,0.01518149897577764,2699.448458365223,40.98167400583616,3.295764,57.20000000000001,59.9,0.0014601580757307524
30,-40,-40.010958333333335,0.002230288993744413,0.010026584282578343,2763.881830023321,27.7122941158157,3.295764,57.20000000000001,59.92083333333333,0.0019757210999779297
30,35,36.02804166666667,0.002287958578560916,0.018297252229197623,2768.0123798723785,50.64702068806649,3.295764,57.29999999999999,60.0,0.001895121042480946
30,-50,-50.027625,0.0022501434557406974,0.009451826170823475,2777.0776852077747,26.24845554345672,3.295764,57.4,60.0,0.0024299414345419494
40,20,20.008375,0.002435913311300885,0.013980689900126565,3034.7350707758537,42.427689953555856,3.447072,57.4375,59.9,0.0011646940810672557
40,-20,-19.998958333333334,0.0021465117974894675,0.010384898216340806,2941.523329690861,30.547420379831493,3.447072,57.5,59.9,0.0011155727910470566
40,30,30.013500000000004,0.002179197127959076,0.012568345321836413,2949.7688900840294,37.0737140301862,3.447072,57.55833333333333,59.94583333333333,0.0014398021683502365
40,-30,-29.957958333333334,0.0022118107069490412,0.009670736432051715,2962.928937440325,28.65370482088443,3.447072,57.70000000000001,59.9,0.0014531676415939904
40,35,35.0165,0.0022010195193694344,0.013594214375285033,2956.7563556224886,40.194779753818615,3.447072,57.708333333333336,60.0,0.0016484597001362477
40,-40,-39.99916666666667,0.0021982457967874387,0.009092197547636863,2891.647805580392,26.291433086527555,3.447072,57.70000000000001,59.99583333333334,0.0017006504994451226
40,50,50.017374999999994,0.0022073396094857063,0.012463140033026916,2843.8916040494973,35.44381930001842,3.447072,57.70000000000001,59.9,0.002231409736297587
40,-50,-50.00054166666666,0.0022252025536390082,0.008609431694241276,2894.5643947291005,24.920554441003034,3.447072,57.70000000000001,59.979166666666664,0.0022311219402809733
50,20,20.018458333333335,0.0023331966539214873,0.008996900100843447,2895.438353073257,26.04996961075077,3.586707,57.79999999999999,59.95416666666667,0.0009793878400709073
50,-20,-19.989250000000002,0.0020824359593281366,0.008471865433232723,2854.3944787616792,24.182045917431406,3.586707,57.758333333333326,60.0,0.0010747601665262018
50,30,30.010666666666665,0.0020561689177181507,0.008802809405732838,2833.204470449986,24.94015896084146,3.586707,57.79999999999999,59.9,0.001281441742730524
50,-30,-29.998625,0.0021654214818179205,0.009215658482288962,2979.8521017338117,27.461299297309793,3.586707,57.79999999999999,59.979166666666664,0.00145802179718067
50,40,40.013958333333335,0.0021669188356146576,0.010072626533827777,2948.041159217105,29.694517603146608,3.586707,57.79999999999999,60.0,0.0016987959123536324
50,-40,-40.01383333333333,0.0022065618973438287,0.009491819317590506,3035.7782291583944,28.815058439446346,3.586707,57.883333333333326,59.979166666666664,0.001777039685957977
50,50,50.013291666666674,0.0021668973064660297,0.009826832153500133,2889.2797849571116,28.392467491274495,3.586707,57.9,59.94166666666667,0.002094412507885363
50,-50,-50.02529166666667,0.0021980814771194912,0.008354430367476576,2924.0309943005054,24.42861333422687,3.586707,57.79999999999999,60.0,0.0021996670881808274
60,20,20.008,0.0022092496501399427,0.007565747204353747,2729.090923623655,20.647612025832853,3.717536,57.9,60.0,0.0010243928897216467
60,-20,-20.007791666666666,0.002122373158790213,0.008257526093463061,2888.081313051098,23.8484068025625,3.717536,57.895833333333336,59.94583333333333,0.0009486255545145449
60,30,30.008375,0.002083951563521855,0.011149524337377037,3082.6300052175843,34.36985826630216,3.717536,57.9,59.99166666666667,0.0014771944936528324
60,-30,-29.99466666666667,0.0021936344127844913,0.00936955611636113,3016.3341178989804,28.261711783349146,3.717536,58.0,59.9,0.0013511247997695104
60,40,40.01354166666666,0.002104354263400412,0.009876832898686237,2970.325113203123,29.337404797878524,3.717536,58.0,59.9,0.0017229924396700996
60,-40,-39.99229166666667,0.002187021457259998,0.008443163696233097,2939.691877931659,24.82029974186388,3.717536,58.0,60.0,0.0017877343244048368
60,50,50.020624999999995,0.0021498331938075562,0.009605122086094809,2965.1611300597456,28.480734659166703,3.717536,58.0,60.0,0.0021809823440862458
60,-50,-50.000750000000004,0.002182580601290982,0.008178237423075293,2911.603109779205,23.811781513538698,3.717536,58.0,59.979166666666664,0.0020547844006709288
70,20,20.012249999999998,0.0021198515909005896,0.008596402833245363,2857.0470825128355,24.560327634828738,3.842423,58.01666666666667,59.9,0.0009533187380880397
70,-20,-20.000625,0.002212114221430577,0.009490826370138388,3009.664265444398,28.564200975742875,3.842423,58.0,60.0,0.0008626392993255368
70,30,30.013875000000002,0.001968745022093958,0.00881273419804593,2900.4065007167446,25.56051155710118,3.842423,58.1,60.0,0.0013362660119983776
70,-30,-30.015625,0.002195867419052567,0.008852256201248106,2990.064059349352,26.46881311150439,3.842423,58.0,60.0,0.0013388303660097842
70,40,40.007875000000006,0.0020601694041485668,0.00923878434481772,2970.6966814258285,27.445625993558895,3.842423,58.00833333333333,59.98333333333333,0.001753253646020313
70,-40,-39.998375,0.0021895139490041783,0.0083384523260274,2920.7876078992044,24.354848222919124,3.842423,58.1,59.99166666666667,0.0017691908177428475
70,50,50.012541666666664,0.002081271287785318,0.008692671668643685,2911.460479250478,25.308370022356392,3.842423,58.0,59.9625,0.0022682852020442634
70,-50,-50.01554166666667,0.00221751738168052,0.00852853203564441,2970.1812546609367,25.331285982046303,3.842423,58.1,60.0,0.0021665164651653883
80,20,20.01545833333333,0.0019600350562377837,0.008946296041391912,2951.2054353998074,26.40235750405159,3.964231,58.02916666666667,60.0,0.0010213207683911752
80,-20,-19.99116666666667,0.002372831350513155,0.008563381018914407,2999.030856311754,25.681843910078694,3.964231,58.1,59.9,0.0011808916321943757
80,30,30.007125000000002,0.0018628131485438869,0.008623095430991276,2937.3677238656305,25.329202198806964,3.964231,58.0,60.0,0.0014923524964787016
80,-30,-29.99733333333333,0.0023036158658547435,0.008441027517500326,2963.585698409703,25.015708430746727,3.964231,58.0,59.975,0.0013832578112642283
80,40,40.01741666666667,0.00193826437238785,0.008499232696949582,2904.8701587053674,24.68916743326178,3.964231,58.1,60.0,0.0017364423147773643
80,-40,-39.9805,0.0022703317867460355,0.008430686321981776,2928.4539139551653,24.688876356935808,3.964231,58.070833333333326,59.9,0.0017228580433955025
80,50,49.999833333333335,0.001984626615422044,0.008761739442190226,2923.6247332393264,25.616038139385886,3.964231,58.041666666666664,59.98333333333333,0.002019670055516259
80,-50,-50.0155,0.0022813394447721196,0.008544899165583097,2983.9684100122936,25.49770917684037,3.964231,57.96111111111111,60.0,0.0024821840853295352
